"No.","Time","Source","Destination","Protocol","Length","Info"
"140","6.101890","","Apple_82:36:3a (00:0d:93:82:36:3a) (RA)","802.11","38","Acknowledgement, Flags=........C"
"141","6.130893","","Apple_82:36:3a (00:0d:93:82:36:3a) (RA)","802.11","38","Clear-to-send, Flags=........C"
"142","6.131874","Apple_82:36:3a","AppleTalk-broadcast-address","802.11","104","Data, SN=37, FN=0, Flags=.p.....TC"
"143","6.131883","","Apple_82:36:3a (00:0d:93:82:36:3a) (RA)","802.11","38","Acknowledgement, Flags=........C"
"144","6.144881","Cisco-Li_82:b2:55","Broadcast","802.11","168","Beacon frame, SN=4058, FN=0, Flags=........C, BI=100, SSID=Coherer"
"145","6.145875","Apple_82:36:3a","AppleTalk-broadcast-address","802.11","108","Data, SN=4059, FN=0, Flags=.pm...F.C"
"146","6.146873","Cisco-Li_82:b2:55","Spanning-tree-(for-bridges)_00","802.11","118","Data, SN=4060, FN=0, Flags=.pm...F.C"
"147","6.147872","","Apple_82:36:3a (00:0d:93:82:36:3a) (RA)","802.11","38","Clear-to-send, Flags=........C"
"148","6.148873","879a","0000","SNA","140","SNA device <--> Non-SNA Device"
"149","6.150872","Apple_82:36:3a","AppleTalk-broadcast-address","802.11","108","Data, SN=4062, FN=0, Flags=.p....F.C"
"150","6.150883","","Apple_82:36:3a (00:0d:93:82:36:3a) (RA)","802.11","38","Clear-to-send, Flags=........C"
"151","6.150887","Apple_82:36:3a","IPv6mcast_ff:82:36:3a","802.11","140","Data, SN=38, FN=0, Flags=.p..R..TC"
"152","6.151873","","Apple_82:36:3a (00:0d:93:82:36:3a) (RA)","802.11","38","Acknowledgement, Flags=........C"
"153","6.160942","","Apple_82:36:3a (00:0d:93:82:36:3a) (RA)","802.11","38","Clear-to-send, Flags=........C"
"154","6.161872","Apple_82:36:3a","AppleTalk-broadcast-address","802.11","104","Data, SN=39, FN=0, Flags=.p.....TC"
"155","6.161880","","Apple_82:36:3a (00:0d:93:82:36:3a) (RA)","802.11","38","Acknowledgement, Flags=........C"
"156","6.190885","","Apple_82:36:3a (00:0d:93:82:36:3a) (RA)","802.11","38","Clear-to-send, Flags=........C"
"157","6.191873","Apple_82:36:3a","AppleTalk-broadcast-address","802.11","104","Data, SN=40, FN=0, Flags=.p.....TC"
"158","6.191883","","Apple_82:36:3a (00:0d:93:82:36:3a) (RA)","802.11","38","Acknowledgement, Flags=........C"
"159","6.220918","","Apple_82:36:3a (00:0d:93:82:36:3a) (RA)","802.11","38","Clear-to-send, Flags=........C"
"160","6.221878","Apple_82:36:3a","AppleTalk-broadcast-address","802.11","104","Data, SN=41, FN=0, Flags=.p.....TC"
"161","6.221890","","Apple_82:36:3a (00:0d:93:82:36:3a) (RA)","802.11","38","Acknowledgement, Flags=........C"
"162","6.247859","Cisco-Li_82:b2:55","Broadcast","802.11","168","Beacon frame, SN=4063, FN=0, Flags=........C, BI=100, SSID=Coherer"
"163","6.248856","Apple_82:36:3a","IPv6mcast_ff:82:36:3a","802.11","144","Data, SN=4064, FN=0, Flags=.pm...F.C"
"164","6.249856","Apple_82:36:3a","AppleTalk-broadcast-address","802.11","108","Data, SN=4065, FN=0, Flags=.pm...F.C"
"165","6.250863","Apple_82:36:3a","AppleTalk-broadcast-address","802.11","108","Data, SN=4066, FN=0, Flags=.pm...F.C"
"166","6.251857","Apple_82:36:3a","AppleTalk-broadcast-address","802.11","108","Data, SN=4067, FN=0, Flags=.p....F.C"
"167","6.252851","","Apple_82:36:3a (00:0d:93:82:36:3a) (RA)","802.11","38","Clear-to-send, Flags=........C"
"168","6.253857","Apple_82:36:3a","AppleTalk-broadcast-address","802.11","104","Data, SN=42, FN=0, Flags=.p.....TC"
"169","6.253866","","Apple_82:36:3a (00:0d:93:82:36:3a) (RA)","802.11","38","Acknowledgement, Flags=........C"
"170","6.280871","","Apple_82:36:3a (00:0d:93:82:36:3a) (RA)","802.11","38","Clear-to-send, Flags=........C"
"171","6.281851","Apple_82:36:3a","AppleTalk-broadcast-address","802.11","104","Data, SN=43, FN=0, Flags=.p.....TC"
"172","6.281860","","Apple_82:36:3a (00:0d:93:82:36:3a) (RA)","802.11","38","Acknowledgement, Flags=........C"
"173","6.311840","","Apple_82:36:3a (00:0d:93:82:36:3a) (RA)","802.11","38","Clear-to-send, Flags=........C"
"174","6.312848","Apple_82:36:3a","AppleTalk-broadcast-address","802.11","104","Data, SN=44, FN=0, Flags=.p.....TC"
"175","6.312857","","Apple_82:36:3a (00:0d:93:82:36:3a) (RA)","802.11","38","Acknowledgement, Flags=........C"
"176","6.341858","","Apple_82:36:3a (00:0d:93:82:36:3a) (RA)","802.11","38","Clear-to-send, Flags=........C"
"177","6.342838","Apple_82:36:3a","AppleTalk-broadcast-address","802.11","104","Data, SN=45, FN=0, Flags=.p.....TC"
"178","6.342847","","Apple_82:36:3a (00:0d:93:82:36:3a) (RA)","802.11","38","Acknowledgement, Flags=........C"
"179","6.349876","Cisco-Li_82:b2:55","Broadcast","802.11","168","Beacon frame, SN=4068, FN=0, Flags=........C, BI=100, SSID=Coherer"
"180","6.350843","Apple_82:36:3a","AppleTalk-broadcast-address","802.11","108","Data, SN=4069, FN=0, Flags=.pm...F.C"
"181","6.351854","Apple_82:36:3a","AppleTalk-broadcast-address","802.11","108","Data, SN=4070, FN=0, Flags=.pm...F.C"
"182","6.352839","Apple_82:36:3a","AppleTalk-broadcast-address","802.11","108","Data, SN=4071, FN=0, Flags=.pm...F.C"
"183","6.353845","Apple_82:36:3a","AppleTalk-broadcast-address","802.11","108","Data, SN=4072, FN=0, Flags=.p....F.C"
"184","6.371838","","Apple_82:36:3a (00:0d:93:82:36:3a) (RA)","802.11","38","Clear-to-send, Flags=........C"
"185","6.372834","Apple_82:36:3a","AppleTalk-broadcast-address","802.11","104","Data, SN=46, FN=0, Flags=.p.....TC"
"186","6.372843","","Apple_82:36:3a (00:0d:93:82:36:3a) (RA)","802.11","38","Acknowledgement, Flags=........C"
"187","6.401916","","Apple_82:36:3a (00:0d:93:82:36:3a) (RA)","802.11","38","Clear-to-send, Flags=........C"
"188","6.402888","Apple_82:36:3a","AppleTalk-broadcast-address","802.11","104","Data, SN=47, FN=0, Flags=.p.....TC"
"189","6.402903","","Apple_82:36:3a (00:0d:93:82:36:3a) (RA)","802.11","38","Acknowledgement, Flags=........C"
"190","6.431911","","Apple_82:36:3a (00:0d:93:82:36:3a) (RA)","802.11","38","Clear-to-send, Flags=........C"
"191","6.432879","Apple_82:36:3a","AppleTalk-broadcast-address","802.11","104","Data, SN=48, FN=0, Flags=.p.....TC"
"192","6.432895","","Apple_82:36:3a (00:0d:93:82:36:3a) (RA)","802.11","38","Acknowledgement, Flags=........C"
"193","6.451923","Cisco-Li_82:b2:55","Broadcast","802.11","168","Beacon frame, SN=4073, FN=0, Flags=........C, BI=100, SSID=Coherer"
"194","6.452884","Apple_82:36:3a","AppleTalk-broadcast-address","802.11","108","Data, SN=4074, FN=0, Flags=.pm...F.C"
"195","6.453894","Apple_82:36:3a","AppleTalk-broadcast-address","802.11","108","Data, SN=4075, FN=0, Flags=.pm...F.C"
"196","6.454895","Apple_82:36:3a","AppleTalk-broadcast-address","802.11","108","Data, SN=4076, FN=0, Flags=.p....F.C"
"197","6.461897","","Apple_82:36:3a (00:0d:93:82:36:3a) (RA)","802.11","38","Clear-to-send, Flags=........C"
"198","6.462894","Apple_82:36:3a","AppleTalk-broadcast-address","802.11","104","Data, SN=49, FN=0, Flags=.p.....TC"
"199","6.462911","","Apple_82:36:3a (00:0d:93:82:36:3a) (RA)","802.11","38","Acknowledgement, Flags=........C"
"200","6.492839","","Apple_82:36:3a (00:0d:93:82:36:3a) (RA)","802.11","38","Clear-to-send, Flags=........C"
"201","6.493812","Apple_82:36:3a","AppleTalk-broadcast-address","802.11","96","Data, SN=50, FN=0, Flags=.p.....TC"
"202","6.554823","Cisco-Li_82:b2:55","Broadcast","802.11","168","Beacon frame, SN=4077, FN=0, Flags=........C, BI=100, SSID=Coherer"
"203","6.555804","Apple_82:36:3a","AppleTalk-broadcast-address","802.11","108","Data, SN=4078, FN=0, Flags=.pm...F.C"
"204","6.556806","Apple_82:36:3a","AppleTalk-broadcast-address","802.11","100","Data, SN=4079, FN=0, Flags=.p....F.C"
"205","6.656809","Cisco-Li_82:b2:55","Broadcast","802.11","168","Beacon frame, SN=4080, FN=0, Flags=........C, BI=100, SSID=Coherer"
